PLAYER_1,PLAYER_2
Jannik Sinner (ITA),Nicolas Jarry (CHI)
Tristan Schoolkate (AUS),Taro Daniel (JPN)
Marcos Giron (USA),Yannick Hanfmann (GER)
Tomas Martin Etcheverry (ARG),Flavio Cobolli (ITA)
Hubert Hurkacz (POL),Tallon Griekspoor (NED)
Miomir Kecmanovic (SRB),Dusan Lajovic (SRB)
Matteo Berrettini (ITA),Cameron Norrie (GBR)
Zhizhen Zhang (CHN),Holger Rune (DEN)
Stefanos Tsitsipas (GRE),Alex Michelsen (USA)
James Mccabe (AUS),Martin Landaluce (ESP)
Gabriel Diallo (CAN),Luca Nardi (ITA)
Adrian Mannarino (FRA),Karen Khachanov (RUS)
Francisco Cerundolo (ARG),Alexander Bublik (KAZ)
Facundo Diaz Acosta (ARG),Zizou Bergs (BEL)
Tristan Boyer (USA),Federico Coria (ARG)
Botic van de Zandschulp (NED),Alex de Minaur (AUS)
Taylor Fritz (USA),Jenson Brooksby (USA)
Borna Coric (CRO),Cristian Garin (CHI)
Francisco Comesana (ARG),Daniel Altmaier (GER)
Gael Monfils (FRA),Giovanni Mpetshi Perricard (FRA)
Ben Shelton (USA),Brandon Nakashima (USA)
Pablo Carreno Busta (ESP),Kamil Majchrzak (POL)
Roberto Bautista Agut (ESP),Denis Shapovalov (CAN)
Matteo Arnaldi (ITA),Lorenzo Musetti (ITA)
Andrey Rublev (RUS),Joao Fonseca (BRA)
Lorenzo Sonego (ITA),Stan Wawrinka (SUI)
Thiago Seyboth Wild (BRA),Fabian Marozsan (HUN)
Arthur Rinderknech (FRA),Frances Tiafoe (USA)
Alexei Popyrin (AUS),Corentin Moutet (FRA)
Rinky Hijikata (AUS),Mitchell Krueger (USA)
Camilo Ugo Carabelli (ARG),Learner Tien (USA)
Kasidit Samrej (THA),Daniil Medvedev (RUS)
Novak Djokovic (SRB),Nishesh Basavareddy (USA)
Jaime Faria (POR),Pavel Kotov (RUS)
Pavel Kotov (RUS),Reilly Opelka (USA)
Sumit Nagal (IND),Tomas Machac (CZE)
Jiri Lehecka (CZE),Li Tu (AUS)
Hugo Gaston (FRA),Omar Jasika (AUS)
David Goffin (BEL),Benjamin Bonzi (FRA)
Francesco Passaro (ITA),Grigor Dimitrov (BUL)
Jack Draper (GBR),Mariano Navone (ARG)
Thanasi Kokkinakis (AUS),Roman Safiullin (RUS)
Damir Dzumhur (BIH),Aleksandar Vukic (AUS)
Lukas Klein (SVK),Sebastian Korda (USA)
Jordan Thompson (AUS),Dominik Koepfer (GER)
Alexandre Muller (FRA),Nuno Borges (POR)
Yoshihito Nishioka (JPN),Aziz Dougaz (TUN)
Alexander Shevchenko (KAZ),Carlos Alcaraz (ESP)
Casper Ruud (NOR),Jaume Munar (ESP)
Nikoloz Basilashvili (GEO),Jakub Mensik (CZE)
Juncheng Shang (CHN),Alejandro Davidovich Fokina (ESP)
Jan Lennard Struff (GER),Felix Auger Aliassime (CAN)
Alejandro Tabilo (CHI),Roberto Carballes Baena (ESP)
James Duckworth (AUS),Dominic Stricker (SUI)
Kei Nishikori (JPN),Thiago Monteiro (BRA)
Christopher OConnell (AUS),Tommy Paul (USA)
Ugo Humbert (FRA),Matteo Gigante (ITA)
Hady Habib (LIB),Bu Yunchaokete (CHN)
Adam Walton (AUS),Quentin Halys (FRA)
Otto Virtanen (FIN),Arthur Fils (FRA)
Sebastian Baez (ARG),Arthur Cazaux (FRA)
Jacob Fearnley (GBR),Nick Kyrgios (AUS)
Pedro Martinez (ESP),Luciano Darderi (ITA)
Lucas Pouille (FRA),Alexander Zverev (GER)
