player1,player2,winner,round
Jannik Sinner,Nicolas Jarry,Jannik Sinner,1st Round
Tristan Schoolkate,Taro Daniel,Tristan Schoolkate,1st Round
Marcos Giron,Yannick Hanfmann,Marcos Giron,1st Round
Tomas Martin Etcheverry,Flavio Cobolli,Tomas Martin Etcheverry,1st Round
Hubert Hurkacz,Tallon Griekspoor,Hubert Hurkacz,1st Round
Miomir Kecmanovic,Dusan Lajovic,Miomir Kecmanovic,1st Round
Matteo Berrettini,Cameron Norrie,Matteo Berrettini,1st Round
Zhizhen Zhang,Holger Rune,Holger Rune,1st Round
Stefanos Tsitsipas,Alex Michelsen,Alex Michelsen,1st Round
James Mccabe,Martin Landaluce,James Mccabe,1st Round
Gabriel Diallo,Luca Nardi,Gabriel Diallo,1st Round
Adrian Mannarino,Karen Khachanov,Karen Khachanov,1st Round
Francisco Cerundolo,Alexander Bublik,Francisco Cerundolo,1st Round
Facundo Diaz Acosta,Zizou Bergs,Facundo Diaz Acosta,1st Round
Tristan Boyer,Federico Coria,Tristan Boyer,1st Round
Botic van de Zandschulp,Alex de Minaur,Alex de Minaur,1st Round
Taylor Fritz,Jenson Brooksby,Taylor Fritz,1st Round
Borna Coric,Cristian Garin,Cristian Garin,1st Round
Francisco Comesana,Daniel Altmaier,Daniel Altmaier,1st Round
Gael Monfils,Giovanni Mpetshi Perricard,Gael Monfils,1st Round
Ben Shelton,Brandon Nakashima,Ben Shelton,1st Round
Pablo Carreno Busta,Kamil Majchrzak,Pablo Carreno Busta,1st Round
Roberto Bautista Agut,Denis Shapovalov,Denis Shapovalov,1st Round
Matteo Arnaldi,Lorenzo Musetti,Lorenzo Musetti,1st Round
Andrey Rublev,Joao Fonseca,Joao Fonseca,1st Round
Lorenzo Sonego,Stan Wawrinka,Lorenzo Sonego,1st Round
Thiago Seyboth Wild,Fabian Marozsan,Fabian Marozsan,1st Round
Arthur Rinderknech,Frances Tiafoe,Frances Tiafoe,1st Round
Alexei Popyrin,Corentin Moutet,Corentin Moutet,1st Round
Rinky Hijikata,Mitchell Krueger,Mitchell Krueger,1st Round
Camilo Ugo Carabelli,Learner Tien,Learner Tien,1st Round
Kasidit Samrej,Daniil Medvedev,Daniil Medvedev,1st Round
Novak Djokovic,Nishesh Basavareddy,Novak Djokovic,1st Round
Jaime Faria,Pavel Kotov,Jaime Faria,1st Round
Pavel Kotov,Reilly Opelka,Reilly Opelka,1st Round
Sumit Nagal,Tomas Machac,Tomas Machac,1st Round
Jiri Lehecka,Li Tu,Jiri Lehecka,1st Round
