Status,Date,Time,Match,P1,P1_profile,P2,P2_profile
Finished,28.01.24,Completed,fin,Jannik Sinner,https://www.tennislive.net/atp/jannik-sinner/,Daniil Medvedev,https://www.tennislive.net/atp/daniil-medvedev/
Finished,26.01.24,Completed,1/2,Daniil Medvedev,https://www.tennislive.net/atp/daniil-medvedev/,Alexander Zverev,https://www.tennislive.net/atp/alexander-zverev/
Finished,26.01.24,Completed,1/2,Jannik Sinner,https://www.tennislive.net/atp/jannik-sinner/,Novak Djokovic,https://www.tennislive.net/atp/novak-djokovic/
Finished,23.01.24,Completed,1/4,Novak Djokovic,https://www.tennislive.net/atp/novak-djokovic/,Taylor Harry Fritz,https://www.tennislive.net/atp/taylor-harry-fritz/
Finished,23.01.24,Completed,1/4,Jannik Sinner,https://www.tennislive.net/atp/jannik-sinner/,Andrey Rublev,https://www.tennislive.net/atp/andrey-rublev/
Finished,24.01.24,Completed,1/4,Daniil Medvedev,https://www.tennislive.net/atp/daniil-medvedev/,Hubert Hurkacz,https://www.tennislive.net/atp/hubert-hurkacz/
Finished,24.01.24,Completed,1/4,Alexander Zverev,https://www.tennislive.net/atp/alexander-zverev/,Carlos Alcaraz,https://www.tennislive.net/atp/carlos-alcaraz-garfia/
Finished,21.01.24,Completed,4th round,Novak Djokovic,https://www.tennislive.net/atp/novak-djokovic/,Adrian Mannarino,https://www.tennislive.net/atp/adrian-mannarino/
Finished,21.01.24,Completed,4th round,Andrey Rublev,https://www.tennislive.net/atp/andrey-rublev/,Alex De Minaur,https://www.tennislive.net/atp/alex-de-minaur/
Finished,21.01.24,Completed,4th round,Taylor Harry Fritz,https://www.tennislive.net/atp/taylor-harry-fritz/,Stefanos Tsitsipas,https://www.tennislive.net/atp/stefanos-tsitsipas/
Finished,21.01.24,Completed,4th round,Jannik Sinner,https://www.tennislive.net/atp/jannik-sinner/,Karen Khachanov,https://www.tennislive.net/atp/karen-khachanov/
Finished,22.01.24,Completed,4th round,Daniil Medvedev,https://www.tennislive.net/atp/daniil-medvedev/,Nuno Borges,https://www.tennislive.net/atp/nuno-borges/
Finished,22.01.24,Completed,4th round,Alexander Zverev,https://www.tennislive.net/atp/alexander-zverev/,Cameron Norrie,https://www.tennislive.net/atp/cameron-norrie/
Finished,22.01.24,Completed,4th round,Hubert Hurkacz,https://www.tennislive.net/atp/hubert-hurkacz/,Arthur Cazaux,https://www.tennislive.net/atp/arthur-cazaux/
Finished,22.01.24,Completed,4th round,Carlos Alcaraz,https://www.tennislive.net/atp/carlos-alcaraz-garfia/,Miomir Kecmanovic,https://www.tennislive.net/atp/miomir-kecmanovic/
Finished,19.01.24,Completed,3rd round,Novak Djokovic,https://www.tennislive.net/atp/novak-djokovic/,Tomas Martin Etcheverry,https://www.tennislive.net/atp/tomas-martin-etcheverry/
Finished,19.01.24,Completed,3rd round,Adrian Mannarino,https://www.tennislive.net/atp/adrian-mannarino/,Ben Shelton,https://www.tennislive.net/atp/ben-shelton/
Finished,19.01.24,Completed,3rd round,Karen Khachanov,https://www.tennislive.net/atp/karen-khachanov/,Tomas Machac,https://www.tennislive.net/atp/tomas-machac/
Finished,19.01.24,Completed,3rd round,Andrey Rublev,https://www.tennislive.net/atp/andrey-rublev/,Sebastian Korda,https://www.tennislive.net/atp/sebastian-korda/
Finished,19.01.24,Completed,3rd round,Taylor Harry Fritz,https://www.tennislive.net/atp/taylor-harry-fritz/,Fabian Marozsan,https://www.tennislive.net/atp/fabian-marozsan/
Finished,19.01.24,Completed,3rd round,Stefanos Tsitsipas,https://www.tennislive.net/atp/stefanos-tsitsipas/,Luca Van Assche,https://www.tennislive.net/atp/luca-van-assche/
Finished,19.01.24,Completed,3rd round,Alex De Minaur,https://www.tennislive.net/atp/alex-de-minaur/,Flavio Cobolli,https://www.tennislive.net/atp/flavio-cobolli/
Finished,19.01.24,Completed,3rd round,Jannik Sinner,https://www.tennislive.net/atp/jannik-sinner/,Sebastian Baez,https://www.tennislive.net/atp/sebastian-baez/
